MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59158.420843,-17.145,3.1,-504,1562,o,0,1.05,50.61241,-3.81864,2659.27,10047.93,2.08,1.98,-52.2,-0.398,14.87,15.13,02a59158o0509o
59158.441263,22.913,4.643,2,12,o,0,1.66,50.61241,-3.81864,2675.74,10089.87,1.97,1.77,-47.4,-0.464,19.32,20.0,02a59158o0551o
59158.4431,20.829,0.884,17,15,o,0,0.87,50.61241,-3.81864,2617.71,10010.58,1.96,1.76,-49.3,-0.501,19.28,19.99,02a59158o0555o
59158.445869,-20.669,0.82,-20,16,o,0,1.03,50.61241,-3.81864,2597.56,10130.7,2.02,1.77,-53.1,-0.481,19.21,19.89,02a59158o0561o
59160.453496,21.104,0.942,13,12,o,0,1.09,50.61241,-3.81864,4809.69,6547.7,2.0,1.82,-21.3,-0.398,18.94,19.71,01a59160o0587o
59160.456731,21.885,1.759,6,11,o,0,1.3,50.61241,-3.81864,4829.71,6585.67,1.94,1.76,-13.8,-0.404,19.51,20.28,01a59160o0594o
59160.46226,-20.361,0.418,-26,11,o,0,1.39,50.61241,-3.81864,4772.24,6507.49,2.02,1.79,-9.1,-0.401,19.52,20.31,01a59160o0606o
59160.473367,-26.646,125.0,0,10,o,0,1.51,50.61241,-3.81864,4755.2,6621.5,2.09,1.79,-2.5,-0.413,19.47,20.25,01a59160o0630o
59170.426065,19.918,0.205,39,8,c,0,1.63,50.61241,-3.81864,5658.48,2073.81,2.42,2.33,62.7,-0.394,19.71,21.52,02a59170o0430c
59170.461219,20.416,0.348,25,9,c,0,1.13,50.61241,-3.81864,5635.77,2039.55,2.43,2.36,69.0,-0.39,19.68,21.48,02a59170o0506c
59170.468231,20.914,0.536,16,8,c,0,1.43,50.61241,-3.81864,5693.19,2118.05,2.43,2.33,66.9,-0.394,19.68,21.51,02a59170o0521c
59170.471444,21.422,0.844,10,8,c,0,1.25,50.61241,-3.81864,5715.12,2003.26,2.45,2.35,66.9,-0.393,19.69,21.52,02a59170o0528c
59178.502019,18.888,0.141,101,14,o,0,1.49,50.61241,-3.81864,5849.44,5956.25,2.2,1.95,47.7,-0.436,19.16,19.79,02a59178o0157o
59178.522522,18.424,0.095,155,15,o,0,2.02,50.61241,-3.81864,5833.64,5915.34,2.33,1.91,44.3,-0.425,19.05,19.75,02a59178o0199o
59178.526495,18.418,0.126,156,20,o,0,1.05,50.61241,-3.81864,5891.44,5996.61,2.26,1.94,46.9,-0.441,19.1,19.81,02a59178o0207o
59178.534414,18.565,0.114,136,16,o,0,0.91,50.61241,-3.81864,5910.22,5877.39,2.44,1.98,42.4,-0.425,19.21,20.18,02a59178o0224o
59184.467665,18.259,0.133,180,24,o,0,1.53,50.61241,-3.81864,2478.73,6166.91,2.18,2.11,85.1,-0.395,18.68,18.88,01a59184o0518o
59184.472352,18.56,0.203,137,28,o,0,0.94,50.61241,-3.81864,2498.2,6206.23,2.21,2.11,-62.4,-0.405,18.62,18.86,01a59184o0528o
59184.47972,18.332,0.124,169,21,o,0,1.46,50.61241,-3.81864,2439.39,6129.24,1.89,1.81,-66.3,-0.433,18.76,18.82,01a59184o0544o
59184.495816,18.421,0.147,156,23,o,0,1.5,50.61241,-3.81864,2419.73,6245.38,2.27,2.12,-3.1,-0.414,18.56,18.72,01a59184o0578o
59186.440646,18.539,0.11,140,15,o,0,1.35,50.61241,-3.81864,9959.29,2371.03,2.23,1.85,-54.3,-0.466,19.12,19.77,02a59186o0564o
59186.44386,18.572,0.125,135,17,o,0,1.16,50.61241,-3.81864,9940.47,2332.12,2.21,1.82,-54.9,-0.475,19.15,19.77,02a59186o0571o
59186.456788,18.314,0.106,172,18,o,0,1.44,50.61241,-3.81864,9999.23,2409.03,2.35,1.89,-53.6,-0.469,19.11,19.73,02a59186o0599o
59186.463222,18.46,0.12,150,18,o,0,1.03,50.61241,-3.81864,10023.2,2294.48,2.26,1.8,-52.9,-0.469,19.15,19.7,02a59186o0613o
59190.342531,18.249,0.055,182,10,c,0,1.21,50.61241,-3.81864,624.93,8193.09,2.53,2.12,-49.1,-0.43,19.77,21.6,02a59190o0286c
59190.34436,18.385,0.061,161,10,c,0,1.63,50.61241,-3.81864,647.36,8232.84,2.52,2.1,-49.7,-0.431,19.75,21.6,02a59190o0290c
59190.350412,18.279,0.055,177,10,c,0,1.58,50.61241,-3.81864,590.63,8152.95,2.49,2.07,-51.1,-0.429,19.77,21.58,02a59190o0303c
59190.356813,18.269,0.055,179,10,c,0,1.05,50.61241,-3.81864,571.28,8270.98,2.48,2.13,-49.2,-0.434,19.77,21.59,02a59190o0317c
59192.39586,18.558,0.08,137,11,o,0,1.32,50.61241,-3.81864,2361.47,4236.29,2.51,2.19,87.5,-0.416,19.62,21.25,01a59192o0465o
59192.399084,18.51,0.072,143,10,o,0,1.51,50.61241,-3.81864,2382.02,4274.62,2.55,2.51,48.5,-0.39,19.53,21.27,01a59192o0472o
59192.405633,18.616,0.093,130,12,o,0,1.14,50.61241,-3.81864,2323.57,4196.81,2.58,2.21,-88.0,-0.413,19.61,21.29,01a59192o0486o
59192.420523,18.826,0.089,107,10,o,0,2.05,50.61241,-3.81864,2305.93,4312.54,2.55,2.26,84.9,-0.407,19.62,21.32,01a59192o0518o
59193.366501,18.569,0.071,136,10,c,0,1.09,50.61241,-3.81864,9952.29,2361.12,2.65,2.34,-61.3,-0.411,19.77,21.74,02a59193o0403c
59193.372007,18.545,0.068,139,9,c,0,1.18,50.61241,-3.81864,9933.42,2323.24,2.72,2.33,-61.1,-0.409,19.77,21.75,02a59193o0415c
59193.375209,18.426,0.06,155,9,c,0,1.38,50.61241,-3.81864,9991.97,2402.64,2.63,2.37,-62.1,-0.409,19.74,21.76,02a59193o0422c
59193.387104,18.581,0.071,134,10,c,0,1.35,50.61241,-3.81864,10013.9,2286.65,2.66,2.34,-57.8,-0.411,19.78,21.77,02a59193o0448c
59194.37491,18.488,0.058,146,8,c,0,1.95,50.61241,-3.81864,1452.99,8163.44,2.39,2.37,-3.9,-0.417,19.79,21.88,02a59194o0415c
59194.377698,18.655,0.084,125,10,c,0,1.0,50.61241,-3.81864,1433.86,8124.83,2.49,2.44,-71.5,-0.42,19.75,21.88,02a59194o0421c
59194.385042,18.593,0.068,133,9,c,0,1.28,50.61241,-3.81864,1492.08,8202.81,2.42,2.39,-79.3,-0.421,19.76,21.89,02a59194o0437c
59194.399714,18.465,0.066,149,10,c,0,1.11,50.61241,-3.81864,1510.11,8090.11,2.42,2.36,-62.4,-0.424,19.77,21.86,02a59194o0469c
59196.394636,18.717,0.115,118,14,c,0,1.13,50.61241,-3.81864,2325.57,4195.91,4.47,3.88,-2.5,-0.312,19.22,21.83,01a59196o0002c
59196.398329,18.794,0.096,110,11,c,0,1.39,50.61241,-3.81864,2385.9,4272.61,3.55,3.51,32.9,-0.308,19.38,21.87,01a59196o0010c
59196.403858,18.751,0.111,115,13,c,0,1.16,50.61241,-3.81864,2330.92,4197.51,4.38,4.27,71.2,-0.29,19.13,21.83,01a59196o0022c
59196.414905,19.256,0.175,72,13,c,0,1.16,50.61241,-3.81864,2311.97,4313.42,4.32,4.27,60.9,-0.307,19.13,21.83,01a59196o0046c
59198.359872,18.893,0.219,101,22,c,0,1.02,50.61241,-3.81864,1453.29,8165.4,2.35,2.28,-44.9,-0.426,18.81,20.54,02a59198o0380c
59198.364034,18.974,0.249,93,23,c,0,1.11,50.61241,-3.81864,1434.9,8126.63,2.31,2.25,-41.5,-0.428,18.77,20.5,02a59198o0389c
59198.369606,18.454,0.266,151,40,c,0,1.33,50.61241,-3.81864,1492.6,8203.46,2.33,2.27,-48.3,-0.42,17.86,19.51,02a59198o0401c
59198.392008,19.553,0.509,55,28,c,0,1.01,50.61241,-3.81864,1512.7,8087.21,2.35,2.3,-57.4,-0.422,18.53,20.19,02a59198o0447c
59200.347649,19.121,0.101,82,8,c,0,1.23,50.61241,-3.81864,2563.37,8113.29,2.32,2.21,-60.6,-0.388,19.88,21.88,01a59200o0242c
59200.353175,19.147,0.099,80,8,c,0,1.02,50.61241,-3.81864,2583.86,8151.83,2.43,2.2,-46.6,-0.386,19.84,21.89,01a59200o0254c
59200.356408,19.086,0.083,84,7,c,0,1.65,50.61241,-3.81864,2526.54,8074.26,2.39,2.2,-41.1,-0.383,19.85,21.9,01a59200o0261c
59200.39186,18.522,0.176,142,25,c,0,1.19,50.61241,-3.81864,2514.43,8187.92,2.31,2.07,-67.2,-0.393,18.54,20.43,01a59200o0337c
59204.337143,18.917,0.099,98,10,o,0,2.21,50.61241,-3.81864,2564.77,8112.11,2.08,1.95,-72.3,-0.408,19.61,20.82,01a59204o0304o
59204.342357,18.917,0.121,98,12,o,0,0.7,50.61241,-3.81864,2584.7,8150.77,2.08,2.02,-0.4,-0.404,19.6,20.87,01a59204o0315o
59204.346524,-19.893,0.274,-40,11,o,0,106.5,50.61241,-3.81864,2527.97,8074.05,1.95,1.84,-73.9,-0.412,19.7,20.94,01a59204o0324o
59204.378086,19.345,0.14,66,9,o,0,2.56,50.61241,-3.81864,2513.14,8187.13,1.98,1.87,-19.6,-0.461,19.54,20.73,01a59204o0390o
59206.250207,19.007,0.171,91,16,o,0,0.91,50.61241,-3.81864,7171.96,2484.49,1.99,1.91,-58.7,-0.439,19.26,19.96,02a59206o0119o
59206.252038,18.812,0.162,108,18,o,0,0.83,50.61241,-3.81864,7191.49,2522.44,1.97,1.87,-55.0,-0.444,19.25,19.96,02a59206o0123o
59206.255697,19.157,0.164,79,13,o,0,1.47,50.61241,-3.81864,7135.15,2444.52,1.95,1.85,-59.3,-0.449,19.28,19.96,02a59206o0131o
59206.261962,19.037,0.162,88,14,o,0,1.22,50.61241,-3.81864,7113.6,2562.09,1.92,1.86,-51.9,-0.441,19.29,20.0,02a59206o0144o
59212.331018,18.898,0.241,100,24,o,0,1.0,50.61241,-3.81864,747.92,2300.9,2.59,2.04,8.2,-0.375,18.76,19.17,01a59212o0309o
59212.336559,18.713,0.193,119,23,o,0,1.0,50.61241,-3.81864,768.44,2340.66,2.52,1.93,6.3,-0.404,18.8,19.16,01a59212o0321o
59212.340248,18.758,0.188,114,21,o,0,1.09,50.61241,-3.81864,709.63,2262.17,2.32,1.87,4.9,-0.4,18.83,19.15,01a59212o0329o
59212.350848,19.017,0.249,90,22,o,0,1.27,50.61241,-3.81864,691.82,2379.0,2.07,1.9,35.9,-0.412,18.89,19.13,01a59212o0352o
59216.35423,19.305,0.184,69,13,o,0,1.39,50.61241,-3.81864,6745.37,6435.17,2.2,2.09,13.3,-0.394,19.27,20.08,01a59216o0354o
59216.359769,19.071,0.163,85,14,o,0,1.23,50.61241,-3.81864,6764.68,6474.12,2.26,2.16,-7.4,-0.397,19.25,20.08,01a59216o0366o
59216.36346,19.674,0.26,49,13,o,0,1.85,50.61241,-3.81864,6706.74,6396.81,2.27,2.1,-11.3,-0.399,19.26,20.08,01a59216o0374o
59216.374987,19.618,0.276,52,14,o,0,0.88,50.61241,-3.81864,6688.99,6515.07,2.13,2.02,-74.3,-0.407,19.32,20.06,01a59216o0399o
59217.313768,19.692,0.218,48,10,o,0,1.42,50.61241,-3.81864,3912.69,6039.51,2.36,1.89,42.3,-0.425,19.65,21.01,02a59217o0223o
59217.317427,19.607,0.217,52,11,o,0,0.93,50.61241,-3.81864,3894.27,6001.02,2.18,1.98,44.6,-0.437,19.59,20.89,02a59217o0231o
59217.322929,19.523,0.219,56,12,o,0,1.22,50.61241,-3.81864,3951.91,6079.16,2.3,1.9,46.4,-0.432,19.54,20.7,02a59217o0243o
59217.334841,20.105,0.382,33,13,o,0,1.14,50.61241,-3.81864,3972.93,5964.27,2.3,1.89,44.5,-0.429,19.47,20.44,02a59217o0269o
59218.37255,19.514,0.281,57,16,o,0,1.07,50.61241,-3.81864,4958.06,10423.0,2.39,2.09,-57.8,-0.437,19.34,20.3,02a59218o0358o
59218.376665,20.247,0.558,29,16,o,0,0.96,50.61241,-3.81864,4939.31,10383.2,2.31,2.08,-56.5,-0.433,19.36,20.25,02a59218o0367o
59218.378513,20.729,0.657,19,12,o,0,1.35,50.61241,-3.81864,3624.46,210.15,2.21,1.92,-59.2,-0.45,19.31,20.25,02a59218o0371o
59218.381716,19.573,0.236,54,13,o,0,1.65,50.61241,-3.81864,3606.3,172.62,2.16,1.84,-54.8,-0.467,19.34,20.21,02a59218o0378o
59218.384003,-20.894,1.141,-16,18,o,0,1.95,50.61241,-3.81864,4998.78,10462.46,2.33,2.06,-56.4,-0.413,19.29,20.16,02a59218o0383o
59218.388575,20.129,0.485,32,16,o,0,1.24,50.61241,-3.81864,3663.87,251.32,2.18,1.95,-60.8,-0.45,19.26,20.13,02a59218o0393o
59218.394531,20.079,0.525,34,18,o,0,1.12,50.61241,-3.81864,5019.19,10344.59,2.38,2.16,-61.4,-0.428,19.19,20.05,02a59218o0406o
59218.400934,20.496,0.647,23,15,o,0,1.18,50.61241,-3.81864,3684.8,133.76,2.23,1.86,-52.4,-0.455,19.23,20.01,02a59218o0420o
59220.295019,20.022,0.216,36,8,c,0,1.52,50.61241,-3.81864,6735.45,6438.9,2.73,2.53,-59.6,-0.39,19.75,21.92,01a59220o0224c
59220.305169,22.024,1.391,6,8,c,0,1.06,50.61241,-3.81864,6756.98,6476.51,2.64,2.47,-37.0,-0.38,19.78,21.86,01a59220o0246c
59220.308393,20.337,0.315,27,8,c,0,1.36,50.61241,-3.81864,6700.09,6400.31,2.52,2.39,-57.7,-0.386,19.82,21.85,01a59220o0253c
59220.313927,20.299,0.295,28,8,c,0,1.23,50.61241,-3.81864,6682.21,6516.31,2.66,2.52,-17.2,-0.38,19.74,21.81,01a59220o0265c
59221.316841,20.519,0.377,22,8,c,0,1.89,50.61241,-3.81864,3623.38,207.99,2.57,2.25,-62.4,-0.413,19.73,21.71,02a59221o0270c
59221.320056,20.364,0.356,26,9,c,0,1.1,50.61241,-3.81864,3604.4,170.1,2.5,2.24,-68.2,-0.417,19.75,21.7,02a59221o0277c
59221.320972,20.773,0.628,18,11,c,0,1.68,50.61241,-3.81864,4961.36,10418.66,2.61,2.51,-67.7,-0.408,19.75,21.73,02a59221o0279c
59221.324225,20.057,0.303,34,10,c,0,1.05,50.61241,-3.81864,4940.41,10380.87,2.61,2.5,-70.9,-0.402,19.79,21.74,02a59221o0286c
59221.326512,19.929,0.248,39,10,c,0,1.38,50.61241,-3.81864,3662.19,248.87,2.55,2.22,-63.0,-0.421,19.76,21.72,02a59221o0291c
59221.330645,-19.741,0.367,-46,17,c,0,0.8,50.61241,-3.81864,4999.41,10461.63,2.63,2.5,-61.0,-0.401,19.75,21.74,02a59221o0300c
59221.339824,20.019,0.227,36,8,c,0,2.21,50.61241,-3.81864,3681.46,133.33,2.62,2.26,-60.2,-0.413,19.74,21.73,02a59221o0320c
59221.340755,20.628,0.551,20,11,c,0,1.4,50.61241,-3.81864,5017.23,10341.36,2.64,2.51,-64.2,-0.398,19.75,21.74,02a59221o0322c
59222.342404,20.293,0.432,28,12,c,0,1.07,50.61241,-3.81864,3619.48,207.97,2.75,2.37,-56.7,-0.41,19.72,21.7,02a59222o0325c
59222.345616,20.067,0.281,34,10,c,0,1.06,50.61241,-3.81864,3600.26,168.74,2.76,2.37,-56.0,-0.406,19.73,21.68,02a59222o0332c
