MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59322.528915,20.814,0.837,17,14,o,0,1.03,259.59643,-0.38762,7357.96,9991.7,2.26,2.11,-66.2,-0.448,19.42,20.67,02a59322o0659o
59322.533052,-20.339,0.547,-27,14,o,0,1.05,259.59643,-0.38762,7377.79,10032.23,2.22,2.04,-63.3,-0.453,19.33,20.55,02a59322o0668o
59322.535802,-21.756,1.759,-7,13,o,0,1.14,259.59643,-0.38762,7319.34,9953.08,2.24,2.11,-66.4,-0.445,19.5,20.77,02a59322o0674o
59322.543586,21.423,1.292,10,13,o,0,1.36,259.59643,-0.38762,7302.01,10070.19,2.33,2.12,-64.1,-0.44,19.43,20.67,02a59322o0691o
59324.526479,20.986,0.546,15,8,c,0,1.33,259.59643,-0.38762,1258.87,664.3,2.51,2.31,35.9,-0.43,19.88,21.71,01a59324o0557c
59324.528781,-21.086,0.635,-13,8,c,0,0.96,259.59643,-0.38762,1238.58,624.84,2.4,2.21,33.0,-0.445,19.89,21.72,01a59324o0562c
59324.536266,-23.169,3.3,-2,6,c,0,1.54,259.59643,-0.38762,1299.43,704.16,2.32,2.15,34.1,-0.437,19.93,21.73,01a59324o0578c
59324.54643,21.123,0.635,13,8,c,0,0.96,259.59643,-0.38762,1316.2,586.51,2.38,2.17,32.9,-0.444,19.93,21.72,01a59324o0600c
59326.479721,19.914,0.359,39,14,o,0,0.91,259.59643,-0.38762,7359.8,9990.54,2.14,1.97,-61.7,-0.452,19.33,20.1,02a59326o0535o
59326.482934,-20.861,0.862,-16,14,o,0,1.24,259.59643,-0.38762,7379.34,10029.92,2.24,2.07,-63.4,-0.442,19.26,20.11,02a59326o0542o
59326.486597,-19.845,0.366,-42,15,o,0,1.45,259.59643,-0.38762,7320.23,9951.04,2.18,1.99,-61.7,-0.445,19.32,20.12,02a59326o0550o
59326.491631,-20.789,0.833,-18,15,o,0,1.66,259.59643,-0.38762,7300.72,10068.55,2.2,1.99,-59.4,-0.445,19.29,20.13,02a59326o0561o
59328.491408,-21.198,1.581,-12,19,o,0,1.04,259.59643,-0.38762,1184.78,8925.31,2.44,2.21,-73.7,-0.391,18.98,19.51,01a59328o0582o
59328.493711,21.984,3.362,6,20,o,0,0.9,259.59643,-0.38762,1165.86,8886.4,2.49,2.34,-54.3,-0.397,18.93,19.52,01a59328o0587o
59328.49647,-20.239,0.597,-29,17,o,0,1.37,259.59643,-0.38762,1224.18,8962.75,2.45,2.29,-73.7,-0.398,18.9,19.52,01a59328o0593o
59328.503395,-20.636,0.897,-20,18,o,0,1.04,259.59643,-0.38762,1246.02,8846.67,2.61,2.4,-9.7,-0.366,18.9,19.58,01a59328o0608o
59331.449822,-20.872,1.904,-16,31,o,0,1.12,259.59643,-0.38762,1187.83,8919.4,2.05,1.77,-81.3,-0.429,18.44,18.16,01a59331o0462o
59331.451666,-21.583,3.571,-8,30,o,0,1.01,259.59643,-0.38762,1168.8,8881.72,2.12,1.79,-80.0,-0.417,18.46,18.17,01a59331o0466o
59331.457653,-23.905,24.727,-1,25,o,0,1.9,259.59643,-0.38762,1230.79,8959.62,2.2,1.95,-76.3,-0.417,18.38,18.22,01a59331o0479o
59331.467788,-20.954,1.759,-15,26,o,0,1.11,259.59643,-0.38762,1250.93,8842.71,1.99,1.8,-66.9,-0.424,18.48,18.29,01a59331o0501o
59334.572206,-20.765,1.147,-18,21,o,0,1.16,259.59643,-0.38762,432.43,4453.57,2.18,2.13,34.5,-0.413,18.53,19.06,02a59334o0623o
59334.600219,-20.008,0.567,-36,20,o,0,0.98,259.59643,-0.38762,414.15,4416.18,2.07,1.87,86.1,-0.432,18.71,19.55,02a59334o0683o
59334.625534,19.484,0.453,58,26,o,0,1.24,259.59643,-0.38762,469.77,4495.66,2.07,1.98,39.5,-0.428,18.43,18.83,02a59334o0737o
59334.627718,-20.212,1.093,-30,33,o,0,1.1,259.59643,-0.38762,489.24,4379.77,2.06,1.98,-63.9,-0.438,18.25,18.6,02a59334o0741o
59336.485694,-20.947,1.725,-15,26,o,0,1.0,259.59643,-0.38762,3137.84,8810.01,4.61,3.23,5.4,-0.36,18.47,19.82,01a59336o0562o
59336.488463,20.684,1.319,19,26,o,0,0.82,259.59643,-0.38762,3117.16,8771.75,4.33,3.16,4.0,-0.343,18.55,19.83,01a59336o0568o
59336.494456,-21.58,2.488,-8,21,o,0,1.17,259.59643,-0.38762,3176.38,8850.21,3.61,2.68,3.2,-0.368,18.71,19.84,01a59336o0581o
59336.505965,-24.24,22.167,-1,16,o,0,0.97,259.59643,-0.38762,3197.66,8733.19,2.47,2.34,-64.4,-0.41,19.04,19.89,01a59336o0606o
59338.499675,21.036,1.083,14,15,o,0,0.97,259.59643,-0.38762,1096.6,9815.59,2.01,1.61,-53.1,-0.554,19.37,20.51,02a59338o0502o
59338.502464,20.295,0.541,28,15,o,0,1.39,259.59643,-0.38762,1120.24,9852.93,2.18,1.5,-53.3,-0.558,19.39,20.46,02a59338o0508o
59338.507499,19.202,0.209,76,16,o,0,1.16,259.59643,-0.38762,1063.5,9774.65,2.34,1.61,-52.8,-0.535,19.39,20.41,02a59338o0519o
59338.513914,19.478,0.381,59,22,o,0,1.01,259.59643,-0.38762,1043.39,9891.6,2.17,1.5,-54.5,-0.573,18.96,19.8,02a59338o0533o
59344.495751,18.29,0.063,175,11,o,0,1.49,259.59643,-0.38762,9557.47,2680.09,2.22,2.01,-74.6,-0.416,19.74,20.93,01a59344o0580o
59344.497654,18.265,0.058,179,10,o,0,1.12,259.59643,-0.38762,9536.83,2641.27,2.33,2.2,-33.9,-0.402,19.71,20.94,01a59344o0584o
59344.500422,18.228,0.055,186,10,o,0,1.36,259.59643,-0.38762,9595.66,2718.38,2.18,2.04,-64.8,-0.41,19.75,20.91,01a59344o0590o
59344.505772,18.16,0.057,198,11,o,0,1.22,259.59643,-0.38762,9616.08,2602.16,2.32,2.15,-68.0,-0.402,19.71,20.89,01a59344o0601o
59346.460203,18.113,0.049,206,10,c,0,0.95,259.59643,-0.38762,9494.1,3584.12,2.39,2.29,-50.8,-0.397,19.74,21.55,02a59346o0498c
59346.464353,18.021,0.044,225,10,c,0,1.32,259.59643,-0.38762,9514.76,3622.84,2.42,2.34,-55.0,-0.388,19.72,21.57,02a59346o0505c
59346.470312,18.107,0.046,208,10,c,0,1.23,259.59643,-0.38762,9458.05,3542.99,2.42,2.34,-52.8,-0.387,19.69,21.55,02a59346o0518c
59346.489329,18.046,0.047,220,10,c,0,1.13,259.59643,-0.38762,9438.31,3661.03,2.36,2.31,-51.0,-0.395,19.74,21.55,02a59346o0557c
59348.48907,18.012,0.053,226,12,o,0,1.27,259.59643,-0.38762,9558.66,2681.82,2.26,2.0,-78.2,-0.423,19.68,20.76,01a59348o0544o
59348.490913,17.929,0.051,245,12,o,0,1.23,259.59643,-0.38762,9539.09,2642.51,2.28,2.01,-77.7,-0.428,19.69,20.76,01a59348o0548o
59348.499091,17.907,0.049,250,12,o,0,1.12,259.59643,-0.38762,9598.12,2719.74,2.25,1.98,-83.0,-0.421,19.72,20.76,01a59348o0565o
59348.506064,17.931,0.049,244,12,o,0,1.28,259.59643,-0.38762,9617.0,2602.13,2.3,2.02,-83.4,-0.424,19.71,20.79,01a59348o0580o
59350.520912,17.781,0.04,280,11,c,0,1.06,259.59643,-0.38762,1088.23,6974.46,2.49,2.44,-30.0,-0.417,19.61,21.49,02a59350o0473c
59350.524112,17.837,0.048,266,13,c,0,0.88,259.59643,-0.38762,1069.28,6937.68,2.65,2.6,-40.9,-0.398,19.53,21.48,02a59350o0480c
59350.533984,17.756,0.036,287,10,c,0,1.73,259.59643,-0.38762,1125.32,7013.62,2.64,2.61,-50.7,-0.404,19.53,21.48,02a59350o0501c
59350.542611,17.686,0.039,306,12,c,0,1.2,259.59643,-0.38762,1151.04,6898.77,2.77,2.68,-56.2,-0.394,19.49,21.47,02a59350o0518c
59352.445859,17.962,0.051,237,12,o,0,1.24,259.59643,-0.38762,9272.88,7051.0,2.24,1.95,-89.4,-0.415,19.66,20.83,01a59352o0424o
59352.449542,17.871,0.044,258,11,o,0,1.13,259.59643,-0.38762,9252.43,7011.89,2.24,1.99,-84.1,-0.414,19.65,20.8,01a59352o0432o
59352.455078,17.83,0.038,268,10,o,0,1.76,259.59643,-0.38762,9311.61,7088.05,2.33,2.24,16.1,-0.394,19.59,20.83,01a59352o0444o
59352.460614,17.858,0.047,261,12,o,0,1.13,259.59643,-0.38762,9331.6,6972.2,2.23,2.13,88.4,-0.408,19.63,20.84,01a59352o0456o
59354.530963,17.764,0.038,285,11,c,0,1.27,259.59643,-0.38762,7329.39,7165.46,2.79,2.38,46.4,-0.394,19.64,21.54,02a59354o0618c
59354.535084,17.787,0.043,279,12,c,0,1.43,259.59643,-0.38762,7310.65,7127.32,2.74,2.34,45.7,-0.397,19.7,21.55,02a59354o0627c
59354.540584,17.654,0.034,315,11,c,0,1.16,259.59643,-0.38762,7368.67,7205.94,2.69,2.36,48.1,-0.395,19.62,21.54,02a59354o0639c
59354.576069,17.772,0.042,283,12,c,0,1.09,259.59643,-0.38762,7380.15,7093.88,2.73,2.4,46.5,-0.39,19.6,21.48,02a59354o0714c
59358.37793,18.156,0.109,198,22,o,0,1.5,259.59643,-0.38762,3245.3,3397.84,2.22,1.79,37.9,-0.465,18.51,18.88,02a59358o0307o
59358.380225,18.128,0.13,204,26,o,0,0.76,259.59643,-0.38762,3265.23,3437.0,2.07,1.82,38.4,-0.464,18.56,18.89,02a59358o0312o
59358.386087,18.022,0.114,225,26,o,0,1.36,259.59643,-0.38762,3204.32,3359.62,2.27,1.79,36.3,-0.457,18.53,18.93,02a59358o0323o
59358.391604,17.793,0.104,277,29,o,0,0.95,259.59643,-0.38762,3187.08,3475.44,2.13,1.84,38.0,-0.461,18.59,18.96,02a59358o0335o
59359.375745,18.122,0.146,205,30,o,0,1.54,259.59643,-0.38762,9272.95,7061.25,2.31,2.01,-88.7,-0.405,18.49,18.45,01a59359o0314o
59359.377591,17.788,0.103,279,29,o,0,1.21,259.59643,-0.38762,9253.07,7022.93,2.3,1.97,-86.5,-0.413,18.47,18.47,01a59359o0318o
59359.380359,17.921,0.127,246,31,o,0,0.79,259.59643,-0.38762,9313.63,7101.56,2.21,1.86,-85.2,-0.416,18.54,18.48,01a59359o0324o
59359.385439,18.16,0.181,198,36,o,0,0.76,259.59643,-0.38762,9335.03,6983.99,2.17,2.0,86.2,-0.406,18.55,18.51,01a59359o0335o
59362.49432,18.5,0.215,145,31,o,0,0.98,259.59643,-0.38762,1371.42,2609.15,1.97,1.93,38.8,-0.477,18.34,18.65,02a59362o0563o
59362.504948,18.268,0.184,179,33,o,0,0.9,259.59643,-0.38762,1353.36,2570.23,2.01,1.95,60.1,-0.463,18.32,18.66,02a59362o0586o
59362.508607,18.097,0.164,210,34,o,0,0.82,259.59643,-0.38762,1412.66,2647.91,2.03,1.97,84.4,-0.466,18.4,18.96,02a59362o0594o
59362.514207,18.27,0.161,179,29,o,0,1.04,259.59643,-0.38762,1432.36,2531.51,2.01,1.95,60.5,-0.464,18.34,18.69,02a59362o0606o
59364.436188,18.287,0.083,176,15,o,0,1.57,259.59643,-0.38762,5152.5,467.56,2.09,2.03,7.3,-0.415,19.3,19.95,01a59364o0409o
59364.438036,18.303,0.101,173,17,o,0,0.7,259.59643,-0.38762,5131.36,427.39,2.07,2.04,81.1,-0.416,19.28,19.95,01a59364o0413o
59364.448235,18.469,0.107,149,16,o,0,0.98,259.59643,-0.38762,5189.21,505.72,2.21,2.17,35.7,-0.421,19.19,19.92,01a59364o0435o
59364.452849,18.41,0.1,157,16,o,0,0.89,259.59643,-0.38762,5207.29,388.08,2.17,2.1,35.9,-0.415,19.26,19.92,01a59364o0445o
59366.470833,18.537,0.082,140,11,o,0,1.38,259.59643,-0.38762,1379.42,2613.19,1.97,1.93,32.4,-0.463,19.47,20.54,02a59366o0402o
59366.474101,18.679,0.081,122,10,o,0,2.21,259.59643,-0.38762,1359.8,2573.72,2.0,1.95,29.0,-0.463,19.44,20.52,02a59366o0409o
59366.486729,18.427,0.067,155,10,o,0,1.82,259.59643,-0.38762,1417.09,2650.24,1.95,1.9,35.3,-0.463,19.47,20.49,02a59366o0436o
59366.492693,18.447,0.075,152,11,o,0,1.15,259.59643,-0.38762,1439.25,2534.82,1.94,1.89,53.4,-0.472,19.42,20.46,02a59366o0449o
59368.405793,18.282,0.046,177,8,c,0,1.24,259.59643,-0.38762,4973.33,6767.79,2.17,2.07,-66.0,-0.382,19.96,21.73,01a59368o0370c
59368.408557,18.425,0.046,155,7,c,0,1.46,259.59643,-0.38762,4955.2,6730.3,2.15,1.99,-61.2,-0.383,20.0,21.74,01a59368o0376c
59368.443432,18.451,0.042,151,6,c,0,2.16,259.59643,-0.38762,5013.5,6802.4,2.18,2.04,-74.7,-0.38,19.98,21.78,01a59368o0450c
59368.446198,18.479,0.049,147,7,c,0,1.45,259.59643,-0.38762,5033.3,6688.8,2.14,2.04,-77.2,-0.383,20.02,21.78,01a59368o0456c
59370.474163,18.579,0.093,134,12,o,0,1.17,259.59643,-0.38762,5074.57,8715.21,2.47,2.28,52.5,-0.417,19.45,20.86,02a59370o0506o
59370.477368,18.626,0.092,129,12,o,0,1.32,259.59643,-0.38762,5055.86,8677.2,2.36,2.17,50.7,-0.421,19.52,20.83,02a59370o0513o
59370.484709,18.882,0.124,102,13,o,0,1.12,259.59643,-0.38762,5115.3,8756.06,2.34,2.12,51.5,-0.431,19.47,20.82,02a59370o0529o
59370.51761,18.652,0.104,126,13,o,0,0.88,259.59643,-0.38762,5130.52,8640.4,2.25,2.05,53.2,-0.427,19.53,20.74,02a59370o0599o
59372.463683,18.667,0.058,124,7,c,0,1.45,259.59643,-0.38762,5566.79,3805.9,2.36,2.18,-9.5,-0.362,19.87,21.76,01a59372o0489c
59372.466909,18.69,0.066,121,8,c,0,1.07,259.59643,-0.38762,5587.19,3843.91,2.31,2.18,-10.3,-0.364,19.89,21.73,01a59372o0496c
59372.502043,18.727,0.063,117,7,c,0,1.26,259.59643,-0.38762,5536.16,3760.67,2.27,2.21,-73.9,-0.365,19.86,21.59,01a59372o0570c
59372.508659,18.729,0.058,117,7,c,0,1.76,259.59643,-0.38762,5516.47,3875.82,2.29,2.16,-75.7,-0.371,19.84,21.59,01a59372o0584c
59374.39793,18.811,0.097,109,10,o,0,1.12,259.59643,-0.38762,5510.5,1845.15,2.26,2.12,20.9,-0.424,19.5,20.92,02a59374o0344o
59374.399759,18.8,0.101,110,11,o,0,0.76,259.59643,-0.38762,5530.19,1883.85,2.11,2.01,22.0,-0.433,19.52,20.93,02a59374o0348o
59374.402506,18.868,0.098,103,10,o,0,1.28,259.59643,-0.38762,5472.4,1805.94,2.1,2.0,23.9,-0.431,19.59,20.93,02a59374o0354o
59374.430083,18.806,0.1,109,11,o,0,0.89,259.59643,-0.38762,5453.0,1924.21,2.11,1.95,22.8,-0.435,19.59,21.02,02a59374o0413o
59376.391263,18.896,0.076,100,8,c,0,1.49,259.59643,-0.38762,2380.44,4356.71,2.48,2.19,1.5,-0.382,19.81,21.72,01a59376o0333c
59376.394517,18.735,0.057,116,7,c,0,1.91,259.59643,-0.38762,2360.48,4318.04,2.24,2.22,5.9,-0.4,19.89,21.74,01a59376o0340c
59376.428088,18.721,0.076,118,9,c,0,0.8,259.59643,-0.38762,8127.5,6170.0,2.48,2.31,-75.2,-0.391,19.88,21.75,01a59376o0412c
59376.439379,18.701,0.062,120,8,c,0,1.61,259.59643,-0.38762,8112.2,6283.71,2.46,2.31,-69.9,-0.388,19.88,21.72,01a59376o0436c
59378.390088,18.566,0.087,136,12,o,0,1.25,259.59643,-0.38762,5322.68,8137.95,2.19,2.03,-55.6,-0.441,19.55,20.91,02a59378o0128o
59378.393312,18.831,0.119,106,13,o,0,1.18,259.59643,-0.38762,5343.36,8176.07,2.09,2.06,73.9,-0.442,19.58,20.91,02a59378o0135o
59378.396055,18.604,0.095,131,12,o,0,1.23,259.59643,-0.38762,5285.22,8099.59,2.07,2.06,-87.0,-0.439,19.56,20.91,02a59378o0141o
59378.401555,18.855,0.106,104,11,o,0,0.96,259.59643,-0.38762,5265.65,8215.98,2.13,2.08,-60.5,-0.435,19.57,20.93,02a59378o0153o
59380.383912,18.953,0.103,95,10,c,0,0.91,259.59643,-0.38762,2379.7,4358.88,2.28,2.26,79.7,-0.402,19.72,21.55,01a59380o0313c
59380.411867,19.036,0.105,88,9,c,0,0.94,259.59643,-0.38762,2358.9,4314.57,2.32,2.17,87.6,-0.401,19.78,21.58,01a59380o0372c
59380.44044,19.233,0.119,74,9,c,0,1.78,259.59643,-0.38762,8134.47,6161.8,2.59,2.48,-86.4,-0.376,19.67,21.46,01a59380o0433c
59380.44701,18.919,0.097,98,10,c,0,1.07,259.59643,-0.38762,8117.39,6274.39,2.55,2.5,-88.8,-0.364,19.78,21.61,01a59380o0446c
59382.384331,18.868,0.116,103,12,o,0,1.46,259.59643,-0.38762,5320.27,8143.6,1.94,1.92,33.5,-0.45,19.54,20.6,02a59382o0313o
59382.404243,18.72,0.084,118,10,o,0,1.61,259.59643,-0.38762,5341.22,8184.42,1.91,1.9,-49.9,-0.455,19.58,20.62,02a59382o0355o
59382.406071,18.784,0.091,111,10,o,0,1.42,259.59643,-0.38762,5283.25,8104.05,1.92,1.9,43.6,-0.448,19.58,20.62,02a59382o0359o
59382.409739,19.139,0.134,80,11,o,0,1.41,259.59643,-0.38762,5264.37,8221.44,1.9,1.89,-69.0,-0.45,19.56,20.64,02a59382o0367o
59384.388458,18.619,0.132,130,17,o,0,1.41,259.59643,-0.38762,7512.52,845.29,2.15,1.95,-80.2,-0.422,18.73,19.45,01a59384o0321o
59384.398402,18.684,0.114,122,14,o,0,1.16,259.59643,-0.38762,7490.56,804.16,2.14,1.95,-73.3,-0.422,19.34,19.94,01a59384o0342o
59384.400245,18.639,0.128,127,16,o,0,1.41,259.59643,-0.38762,7549.69,884.47,2.14,2.0,-74.7,-0.422,19.28,19.96,01a59384o0346o
59384.41583,18.836,0.137,106,15,o,0,0.97,259.59643,-0.38762,3000.6,9830.45,1.85,1.68,-59.3,-0.439,19.15,19.86,01a59384o0379o
59386.386802,18.847,0.276,105,29,o,0,1.05,259.59643,-0.38762,1202.3,1543.36,2.19,1.94,-57.1,-0.468,18.59,18.91,02a59386o0262o
59386.388632,18.788,0.19,111,21,o,0,1.55,259.59643,-0.38762,1223.11,1583.8,2.25,1.92,-57.1,-0.47,18.68,19.03,02a59386o0266o
59386.392885,18.695,0.179,121,22,o,0,1.31,259.59643,-0.38762,1165.8,1504.99,2.35,1.94,-57.1,-0.459,18.9,19.32,02a59386o0275o
59386.412393,18.956,0.349,95,33,o,0,1.22,259.59643,-0.38762,9441.55,8935.2,2.4,2.28,-67.5,-0.421,18.61,19.15,02a59386o0315o
59392.532033,19.211,0.221,75,17,o,0,1.15,259.59643,-0.38762,2971.58,7778.1,1.92,1.82,-53.7,-0.427,19.0,19.31,01a59392o0630o
59392.540492,19.107,0.225,83,19,o,0,1.24,259.59643,-0.38762,2988.4,7817.66,2.16,2.0,-58.5,-0.427,18.86,19.22,01a59392o0647o
59392.569466,19.826,0.43,43,18,o,0,1.78,259.59643,-0.38762,2924.06,7740.44,2.05,1.81,-67.2,-0.426,18.76,18.9,01a59392o0708o
59394.508298,19.215,0.188,75,14,o,0,1.25,259.59643,-0.38762,6833.54,4650.38,2.13,1.91,45.8,-0.435,19.2,19.91,02a59394o0565o
59394.523938,19.329,0.261,67,18,o,0,1.47,259.59643,-0.38762,6804.68,4613.54,2.54,1.93,41.8,-0.417,18.83,19.69,02a59394o0598o
59394.526745,19.006,0.246,91,22,o,0,1.26,259.59643,-0.38762,6860.89,4691.11,2.43,1.87,41.3,-0.423,18.86,19.65,02a59394o0604o
59394.532256,18.751,0.184,115,21,o,0,1.47,259.59643,-0.38762,6881.68,4574.18,2.36,1.87,43.0,-0.429,18.79,19.55,02a59394o0616o
59396.460252,19.266,0.153,71,11,o,0,0.75,259.59643,-0.38762,2963.72,7784.45,1.79,1.7,-66.6,-0.432,19.71,20.74,01a59396o0476o
59396.463487,19.145,0.116,80,9,o,0,0.98,259.59643,-0.38762,2983.78,7823.01,1.8,1.67,-71.7,-0.434,19.69,20.73,01a59396o0483o
59396.479679,19.415,0.149,62,9,o,0,1.31,259.59643,-0.38762,2926.65,7744.02,1.83,1.69,-69.8,-0.436,19.67,20.64,01a59396o0518o
59396.494075,19.364,0.197,65,13,o,0,0.74,259.59643,-0.38762,2908.52,7859.1,2.04,1.93,-64.0,-0.411,19.52,20.57,01a59396o0549o
59400.421481,19.692,0.233,48,11,o,0,0.97,259.59643,-0.38762,3098.18,1484.84,2.25,1.9,2.2,-0.401,19.45,20.49,01a59400o0394o
59400.424252,19.573,0.202,54,11,o,0,1.13,259.59643,-0.38762,3118.24,1524.38,2.34,2.09,9.0,-0.393,19.42,20.49,01a59400o0400o
59400.429384,19.741,0.257,46,12,o,0,0.88,259.59643,-0.38762,3059.57,1445.68,2.12,2.01,20.3,-0.412,19.48,20.47,01a59400o0411o
59400.442606,19.733,0.242,46,11,o,0,1.21,259.59643,-0.38762,3040.31,1561.55,2.03,1.98,23.7,-0.41,19.48,20.47,01a59400o0439o
59402.411767,20.171,0.283,31,9,c,0,0.98,259.59643,-0.38762,8770.06,4546.1,2.41,2.28,-78.0,-0.399,19.78,21.59,02a59402o0367c
59402.414983,20.468,0.341,24,8,c,0,1.42,259.59643,-0.38762,8750.49,4507.76,2.44,2.33,-80.6,-0.395,19.75,21.59,02a59402o0374c
59402.42186,20.049,0.257,35,9,c,0,0.97,259.59643,-0.38762,8808.19,4584.96,2.45,2.34,-84.6,-0.391,19.74,21.55,02a59402o0389c
59402.433025,19.971,0.2,37,8,c,0,1.81,259.59643,-0.38762,8827.92,4470.85,2.48,2.33,-74.1,-0.394,19.63,21.42,02a59402o0413c
59404.373444,19.815,0.195,43,8,o,0,1.69,259.59643,-0.38762,3089.55,1494.68,1.73,1.62,7.7,-0.438,19.77,20.79,01a59404o0288o
59404.376226,19.459,0.151,60,9,o,0,1.0,259.59643,-0.38762,3110.24,1533.39,1.73,1.64,20.1,-0.436,19.76,20.79,01a59404o0294o
59404.411586,19.761,0.203,45,9,o,0,1.12,259.59643,-0.38762,3057.47,1447.53,1.75,1.68,39.8,-0.433,19.67,20.65,01a59404o0370o
59404.417634,20.265,0.311,28,9,o,0,1.67,259.59643,-0.38762,3040.81,1564.55,1.81,1.72,56.7,-0.435,19.63,20.64,01a59404o0383o
59406.410228,20.363,0.295,26,8,c,0,1.75,259.59643,-0.38762,8770.31,4547.68,2.48,2.42,79.3,-0.388,19.71,21.55,02a59406o0360c
59406.419041,20.158,0.322,31,10,c,0,0.93,259.59643,-0.38762,8751.82,4510.2,2.52,2.43,81.9,-0.388,19.66,21.51,02a59406o0379c
59406.423268,19.8,0.229,44,10,c,0,1.02,259.59643,-0.38762,8809.91,4590.54,2.45,2.39,86.2,-0.393,19.71,21.5,02a59406o0388c
59406.458746,19.919,0.341,39,13,c,0,1.06,259.59643,-0.38762,8828.41,4476.42,2.5,2.47,-66.9,-0.384,19.31,21.02,02a59406o0464c
59408.369339,20.164,0.23,31,7,o,0,1.1,259.59643,-0.38762,5666.73,5830.24,1.96,1.92,-19.3,-0.396,19.74,21.04,01a59408o0282o
59408.37303,19.556,0.134,55,7,o,0,1.91,259.59643,-0.38762,5687.25,5869.18,2.08,2.01,-47.6,-0.387,19.67,21.02,01a59408o0290o
59408.400853,19.777,0.162,45,7,o,0,2.35,259.59643,-0.38762,5631.41,5786.24,1.98,1.94,-68.4,-0.398,19.71,20.97,01a59408o0349o
59408.410526,20.17,0.244,31,8,o,0,1.38,259.59643,-0.38762,5613.43,5902.32,1.99,1.88,-62.9,-0.397,19.68,20.92,01a59408o0370o
59412.302349,21.026,0.694,14,10,o,0,1.14,259.59643,-0.38762,4893.42,4737.09,1.83,1.79,-57.4,-0.418,19.63,20.58,01a59412o0139o
59412.305162,19.868,0.242,41,10,o,0,1.01,259.59643,-0.38762,4874.11,4698.74,1.83,1.77,-59.7,-0.422,19.65,20.59,01a59412o0145o
59412.307931,20.259,0.275,29,8,o,0,1.94,259.59643,-0.38762,4931.56,4774.33,1.81,1.71,-79.6,-0.426,19.65,20.59,01a59412o0151o
